Date;Mesures;Hommes;Femmes;Total
Mai 2014;Chômeurs inscrits;72'215;58'095;130'310
Juin 2014;Taux de chômage;2.9;2.8;2.8
Juin 2014;Coefficients de variation;A;A;A
Juin 2014;Chômeurs inscrits;69'363;57'269;126'632
Juillet 2014;Taux de chômage;2.8;2.8;2.8
Juillet 2014;Coefficients de variation;A;A;A
Juillet 2014;Chômeurs inscrits;68'796;58'258;127'054
Août 2014;Taux de chômage;2.8;2.9;2.9
Août 2014;Coefficients de variation;A;A;A
Août 2014;Chômeurs inscrits;69'080;59'354;128'434
Septembre 2014;Taux de chômage;2.9;2.9;2.9
Septembre 2014;Coefficients de variation;A;A;A
Septembre 2014;Chômeurs inscrits;69'995;59'970;129'965
Octobre 2014;Taux de chômage;3;2.9;2.9
Octobre 2014;Coefficients de variation;A;A;A
Octobre 2014;Chômeurs inscrits;71'882;60'515;132'397
Novembre 2014;Taux de chômage;3.1;2.9;3
Novembre 2014;Coefficients de variation;A;A;A
Novembre 2014;Chômeurs inscrits;76'185;60'367;136'552
Décembre 2014;Taux de chômage;3.6;2.9;3.3
Décembre 2014;Coefficients de variation;A;A;A
Décembre 2014;Chômeurs inscrits;86'697;60'672;147'369
Janvier 2015;Taux de chômage;3.7;3;3.4
Janvier 2015;Coefficients de variation;A;A;A
Janvier 2015;Chômeurs inscrits;89'329;61'617;150'946
Février 2015;Taux de chômage;3.6;3;3.3
Février 2015;Coefficients de variation;A;A;A
Février 2015;Chômeurs inscrits;88'625;61'296;149'921
Mars 2015;Taux de chômage;3.5;2.9;3.2
Mars 2015;Coefficients de variation;A;A;A
Mars 2015;Chômeurs inscrits;84'296;60'812;145'108
Avril 2015;Taux de chômage;3.3;2.9;3.1
Avril 2015;Coefficients de variation;A;A;A
Avril 2015;Chômeurs inscrits;80'392;60'739;141'131
Mai 2015;Taux de chômage;3.2;2.9;3
Mai 2015;Coefficients de variation;A;A;A
Mai 2015;Chômeurs inscrits;76'809;59'540;136'349
Juin 2015;Taux de chômage;3;2.9;3
Juin 2015;Coefficients de variation;A;A;A
Juin 2015;Chômeurs inscrits;74'047;59'209;133'256
Juillet 2015;Taux de chômage;3;2.9;3
Juillet 2015;Coefficients de variation;A;A;A
Juillet 2015;Chômeurs inscrits;73'533;60'221;133'754
Août 2015;Taux de chômage;3.1;3;3
Août 2015;Coefficients de variation;A;A;A
Août 2015;Chômeurs inscrits;74'783;62'200;136'983
Septembre 2015;Taux de chômage;3.1;3;3.1
Septembre 2015;Coefficients de variation;A;A;A
Septembre 2015;Chômeurs inscrits;75'463;62'763;138'226
Octobre 2015;Taux de chômage;3.2;3.1;3.1
Octobre 2015;Coefficients de variation;A;A;A
Octobre 2015;Chômeurs inscrits;77'498;63'771;141'269
Novembre 2015;Taux de chômage;3.4;3.1;3.3
Novembre 2015;Coefficients de variation;A;A;A
Novembre 2015;Chômeurs inscrits;83'381;64'762;148'143
Décembre 2015;Taux de chômage;3.8;3.2;3.5
Décembre 2015;Coefficients de variation;A;A;A
Décembre 2015;Chômeurs inscrits;93'576;65'053;158'629
Janvier 2016;Taux de chômage;4;3.2;3.6
Janvier 2016;Coefficients de variation;A;A;A
Janvier 2016;Chômeurs inscrits;97'172;66'472;163'644
Février 2016;Taux de chômage;3.9;3.2;3.6
Février 2016;Coefficients de variation;A;A;A
Février 2016;Chômeurs inscrits;95'180;66'237;161'417
Mars 2016;Taux de chômage;3.7;3.1;3.5
Mars 2016;Coefficients de variation;A;A;A
Mars 2016;Chômeurs inscrits;90'425;64'899;155'324
Avril 2016;Taux de chômage;3.5;3.1;3.3
Avril 2016;Coefficients de variation;A;A;A
Avril 2016;Chômeurs inscrits;85'046;64'494;149'540
Mai 2016;Taux de chômage;3.3;3.1;3.2
Mai 2016;Coefficients de variation;A;A;A
Mai 2016;Chômeurs inscrits;81'420;63'358;144'778
Juin 2016;Taux de chômage;3.2;3;3.1
Juin 2016;Coefficients de variation;A;A;A
Juin 2016;Chômeurs inscrits;77'402;61'725;139'127
Juillet 2016;Taux de chômage;3.1;3;3.1
Juillet 2016;Coefficients de variation;A;A;A
Juillet 2016;Chômeurs inscrits;76'500;62'810;139'310
Août 2016;Taux de chômage;3.2;3.2;3.2
Août 2016;Coefficients de variation;A;A;A
Août 2016;Chômeurs inscrits;77'873;64'985;142'858
Septembre 2016;Taux de chômage;3.2;3.2;3.2
Septembre 2016;Coefficients de variation;A;A;A
Septembre 2016;Chômeurs inscrits;77'602;65'073;142'675
Octobre 2016;Taux de chômage;3.3;3.2;3.2
Octobre 2016;Coefficients de variation;A;A;A
Octobre 2016;Chômeurs inscrits;79'062;65'469;144'531
Novembre 2016;Taux de chômage;3.4;3.2;3.3
Novembre 2016;Coefficients de variation;A;A;A
Novembre 2016;Chômeurs inscrits;83'410;65'818;149'228
Décembre 2016;Taux de chômage;3.8;3.2;3.5
Décembre 2016;Coefficients de variation;A;A;A
Décembre 2016;Chômeurs inscrits;93'481;65'891;159'372
Janvier 2017;Taux de chômage;4;3.2;3.7
Janvier 2017;Coefficients de variation;A;A;A
Janvier 2017;Chômeurs inscrits;97'457;67'009;164'466
Février 2017;Taux de chômage;3.9;3.2;3.6
Février 2017;Coefficients de variation;A;A;A
Février 2017;Chômeurs inscrits;93'695;66'114;159'809
Mars 2017;Taux de chômage;3.6;3.1;3.4
Mars 2017;Coefficients de variation;A;A;A
Mars 2017;Chômeurs inscrits;87'552;64'728;152'280
Avril 2017;Taux de chômage;3.4;3.1;3.3
Avril 2017;Coefficients de variation;A;A;A
Avril 2017;Chômeurs inscrits;82'347;63'980;146'327
Mai 2017;Taux de chômage;3.2;3;3.1
Mai 2017;Coefficients de variation;A;A;A
Mai 2017;Chômeurs inscrits;77'316;62'462;139'778
Juin 2017;Taux de chômage;3;2.9;3
Juin 2017;Coefficients de variation;A;A;A
Juin 2017;Chômeurs inscrits;73'058;60'545;133'603
Juillet 2017;Taux de chômage;3;3;3
Juillet 2017;Coefficients de variation;A;A;A
Juillet 2017;Chômeurs inscrits;72'435;61'491;133'926
Août 2017;Taux de chômage;3;3.1;3
Août 2017;Coefficients de variation;A;A;A
Août 2017;Chômeurs inscrits;72'633;62'945;135'578
Septembre 2017;Taux de chômage;2.9;3;3
Septembre 2017;Coefficients de variation;A;A;A
Septembre 2017;Chômeurs inscrits;71'151;62'018;133'169
Octobre 2017;Taux de chômage;3;3;3
Octobre 2017;Coefficients de variation;A;A;A
Octobre 2017;Chômeurs inscrits;72'330;62'470;134'800
Novembre 2017;Taux de chômage;3.1;3;3.1
Novembre 2017;Coefficients de variation;A;A;A
Novembre 2017;Chômeurs inscrits;75'604;61'713;137'317
Décembre 2017;Taux de chômage;3.5;3;3.3
Décembre 2017;Coefficients de variation;A;A;A
Décembre 2017;Chômeurs inscrits;85'200;61'454;146'654
Total;Taux de chômage;3;3.1;3.1
Total;Coefficients de variation;A;A;A
Total;Chômeurs inscrits;15'009'464;12'405'344;27'414'808
